row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_tested_prop_count,26,count,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_prop_diameter_low_in,9,in,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_prop_diameter_high_in,11,in,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_advance_ratio_low_j,-0.8,J,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_advance_ratio_high_j,0,J,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_rotational_speed_rpm,4000,rpm,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_wind_tunnel_speed_low_m_s,2.44,m/s,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_wind_tunnel_speed_high_m_s,12.19,m/s,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_steady_replicates_per_condition,3,count,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_steady_data_points_per_run,51,count,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_time_history_duration_s,90,s,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_time_history_sample_rate_hz,120,Hz,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_time_history_lpf_hz,10,Hz,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,source_text_half_amplitude_fraction,0.3,fraction,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,digitized_figure_count,3,count,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,digitized_point_count,13,count,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,digitized_prop_count,3,count,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
vrs_digitization_packet_source,Shetty/Selig VRS source context,digitized_figures,Fig. 11; Fig. 12; Fig. 13,text,docs/data/vrs_propwash_reference.csv,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,direct_small_prop_vrs_source_context,Public small-prop VRS source context and current low-precision figure coverage.
